course_id,title,description,category,difficulty,duration_hours,rating,tags,instructor,youtube_url,thumbnail_color
1,Python for Beginners,Learn Python from scratch with hands-on projects and real-world examples. Variables loops functions and OOP covered.,Programming,Beginner,20,4.8,"python,programming,beginner,coding",Dr. Alice Smith,https://www.youtube.com/embed/kqtD5dpn9C8,4f46e5
2,Machine Learning A-Z,Complete machine learning course covering supervised and unsupervised learning with scikit-learn.,Data Science,Intermediate,40,4.9,"machine learning,python,scikit-learn,data science,AI",Prof. John Doe,https://www.youtube.com/embed/GwIo3gDZCVQ,06b6d4
3,Web Development Bootcamp,Full stack web development with HTML CSS JavaScript and Node.js from zero to hero.,Web Development,Beginner,60,4.7,"html,css,javascript,web,fullstack",Sarah Johnson,https://www.youtube.com/embed/ysEN5RaKOlA,10b981
4,Deep Learning Specialization,Neural networks deep learning CNN RNN and NLP using TensorFlow and Keras.,Data Science,Advanced,50,4.9,"deep learning,neural networks,tensorflow,AI,python",Dr. Andrew Lee,https://www.youtube.com/embed/VyWAvY2CF9c,f59e0b
5,Data Structures and Algorithms,Master DSA concepts with coding problems for FAANG interviews. Arrays trees graphs.,Computer Science,Intermediate,35,4.6,"dsa,algorithms,data structures,coding,interview",Prof. Robert Brown,https://www.youtube.com/embed/8hly31xKli0,ef4444
6,React JS Complete Guide,Build modern web apps with React hooks context Redux and React Router.,Web Development,Intermediate,30,4.8,"react,javascript,frontend,web,hooks",Michael Chen,https://www.youtube.com/embed/w7ejDZ8SWv8,4f46e5
7,Database Design and SQL,Learn relational databases normalization and advanced SQL queries with MySQL.,Database,Beginner,25,4.5,"sql,database,mysql,postgresql,design",Dr. Emma Wilson,https://www.youtube.com/embed/HXV3zeQKqGY,06b6d4
8,Cloud Computing with AWS,Deploy scale and manage applications on Amazon Web Services EC2 S3 Lambda.,Cloud,Advanced,45,4.7,"aws,cloud,devops,deployment,serverless",James Martinez,https://www.youtube.com/embed/k1RI5locZE4,10b981
9,Cybersecurity Fundamentals,Network security ethical hacking and penetration testing basics with Kali Linux.,Security,Intermediate,30,4.6,"cybersecurity,networking,hacking,security,linux",Prof. Lisa Park,https://www.youtube.com/embed/3Kq1MIfTWCE,f59e0b
10,Flutter Mobile Development,Build cross-platform mobile apps for iOS and Android with Flutter and Dart.,Mobile,Intermediate,35,4.7,"flutter,dart,mobile,android,ios",Kevin Nguyen,https://www.youtube.com/embed/VPvVD8t02U8,ef4444
11,Natural Language Processing,Text processing sentiment analysis and language models with Python transformers.,Data Science,Advanced,40,4.8,"nlp,text mining,python,machine learning,transformers",Dr. Sophie Turner,https://www.youtube.com/embed/X2vAabgKiuM,4f46e5
12,DevOps and CI/CD Pipeline,Automate deployments with Docker Kubernetes Jenkins and GitHub Actions.,DevOps,Advanced,35,4.6,"docker,kubernetes,devops,cicd,automation",Tom Anderson,https://www.youtube.com/embed/9pZ2xmsSDdo,06b6d4
13,Computer Vision with OpenCV,Image processing object detection and face recognition with Python OpenCV.,Computer Vision,Intermediate,30,4.7,"opencv,computer vision,python,image processing,deep learning",Prof. David Kim,https://www.youtube.com/embed/oXlwWbU8l2o,10b981
14,Blockchain and Web3,Cryptocurrency smart contracts and decentralized application development Solidity.,Blockchain,Advanced,25,4.3,"blockchain,web3,solidity,ethereum,cryptocurrency",Ryan Lee,https://www.youtube.com/embed/SSo_EIwHSd4,f59e0b
15,Statistics for Data Science,Probability distributions hypothesis testing and statistical inference with Python.,Statistics,Beginner,20,4.5,"statistics,probability,data science,math,analysis",Dr. Priya Patel,https://www.youtube.com/embed/xxpc-HPKN28,ef4444
16,JavaScript ES6+ Mastery,Modern JavaScript features async programming promises and design patterns.,Web Development,Intermediate,25,4.7,"javascript,es6,async,programming,web",Alex Thompson,https://www.youtube.com/embed/NCwa_xi0Uuc,4f46e5
17,System Design Interview Prep,Design scalable distributed systems load balancers caches for FAANG interviews.,Computer Science,Advanced,20,4.8,"system design,interview,scalability,distributed systems,architecture",Senior Engineer A,https://www.youtube.com/embed/i53Gi_K3o7I,06b6d4
18,Linux Command Line,Master bash scripting system administration and server management.,DevOps,Beginner,15,4.5,"linux,bash,terminal,scripting,sysadmin",Prof. Carlos Rodriguez,https://www.youtube.com/embed/oxuRxtrO2Ag,10b981
19,UI UX Design Principles,Create user-friendly interfaces with Figma design thinking and prototyping.,Design,Beginner,20,4.6,"ui,ux,design,figma,prototyping",Jessica White,https://www.youtube.com/embed/c9Wg6Cb_YlU,f59e0b
20,Data Visualization with Python,Create stunning charts dashboards with Matplotlib Seaborn and Plotly.,Data Science,Intermediate,20,4.6,"visualization,matplotlib,seaborn,plotly,python",Dr. Nina Sharma,https://www.youtube.com/embed/a9UrKTVEeZA,ef4444
21,Angular Framework Complete,Build enterprise web applications with Angular TypeScript and RxJS.,Web Development,Advanced,35,4.5,"angular,typescript,rxjs,frontend,enterprise",Paul Jackson,https://www.youtube.com/embed/3qBXWUpoPHo,4f46e5
22,Microservices Architecture,Design and deploy microservices with Spring Boot Docker and Kubernetes.,Backend,Advanced,30,4.7,"microservices,spring boot,java,docker,architecture",Dr. Helen Chang,https://www.youtube.com/embed/rv4LlmLmVWk,06b6d4
23,Competitive Programming,Advanced algorithms and problem solving for coding competitions Codeforces.,Computer Science,Advanced,40,4.8,"competitive programming,algorithms,codeforces,leetcode,cp",Prof. Arjun Mehta,https://www.youtube.com/embed/0IAPZzGSbME,10b981
24,Game Development Unity,Build 2D and 3D games with Unity engine C# scripting and physics.,Game Dev,Intermediate,45,4.6,"unity,game development,c#,3d,gamedev",Chris Evans,https://www.youtube.com/embed/gB1F9G0JXOo,f59e0b
25,API Design with FastAPI,Build high-performance REST APIs with Python FastAPI Pydantic and SQLAlchemy.,Backend,Intermediate,20,4.8,"fastapi,api,python,rest,backend",Ana Rodriguez,https://www.youtube.com/embed/0RS9W8MtZe4,ef4444
26,iOS Development Swift,Build native iPhone apps with Swift SwiftUI and Xcode for iOS 17.,Mobile,Intermediate,40,4.7,"swift,ios,xcode,swiftui,apple",Jennifer Liu,https://www.youtube.com/embed/CwA1VWP0Ldw,4f46e5
27,Ethical AI and Responsible ML,Build fair accountable and transparent machine learning systems bias detection.,AI,Intermediate,25,4.6,"ai ethics,responsible ai,fairness,ml,bias",Dr. Samuel Johnson,https://www.youtube.com/embed/jIXIuYdnyyk,06b6d4
28,Excel and Power BI,Data analysis reporting and business intelligence dashboards with Microsoft tools.,Business,Beginner,25,4.5,"excel,power bi,data analysis,business,reporting",Mark Stevens,https://www.youtube.com/embed/AGl6-OCMwSk,10b981
29,Docker and Kubernetes,Containerize applications with Docker and orchestrate with Kubernetes clusters.,DevOps,Intermediate,30,4.7,"docker,kubernetes,containers,devops,microservices",Ram Patel,https://www.youtube.com/embed/Wf2eSG3owoA,f59e0b
30,GraphQL API Development,Build flexible APIs with GraphQL Apollo Server and integrate with React.,Web Development,Intermediate,20,4.5,"graphql,api,apollo,react,javascript",Lisa Chen,https://www.youtube.com/embed/ed8SzALpx1Q,ef4444
31,Rust Programming Language,Systems programming memory safety and performance with Rust lang.,Programming,Advanced,30,4.7,"rust,systems programming,memory,performance,low level",Dr. Felix Wagner,https://www.youtube.com/embed/BpPEoZW5IiY,4f46e5
32,Data Engineering with Spark,Big data processing ETL pipelines with Apache Spark PySpark and Hadoop.,Data Science,Advanced,35,4.6,"spark,big data,pyspark,hadoop,data engineering",Prof. Wei Zhang,https://www.youtube.com/embed/QaoJkXeKSs,06b6d4
33,Kotlin for Android,Build modern Android apps with Kotlin Jetpack Compose and Android Studio.,Mobile,Intermediate,35,4.6,"kotlin,android,jetpack,mobile,google",Anita Desai,https://www.youtube.com/embed/F9UC9DY-vIU,10b981
34,TypeScript Complete Course,Type-safe JavaScript with TypeScript interfaces generics and advanced types.,Web Development,Intermediate,20,4.7,"typescript,javascript,types,frontend,web",Jake Morrison,https://www.youtube.com/embed/BwuLxPH8IDs,f59e0b
35,Penetration Testing,Advanced ethical hacking web app security SQL injection XSS CSRF attacks.,Security,Advanced,40,4.8,"pentesting,ethical hacking,security,web security,kali",Prof. Marcus Hunt,https://www.youtube.com/embed/3Kq1MIfTWCE,ef4444
36,TensorFlow and Keras,Build train and deploy deep learning models with TensorFlow 2.0 and Keras.,Data Science,Intermediate,30,4.7,"tensorflow,keras,deep learning,neural networks,python",Dr. Yuki Tanaka,https://www.youtube.com/embed/tPYj3fFJGjk,4f46e5
37,Vue.js Complete Guide,Progressive JavaScript framework for building reactive web interfaces.,Web Development,Intermediate,25,4.6,"vue,javascript,frontend,spa,web",Emma Laurent,https://www.youtube.com/embed/qZXt1Aom3Cs,06b6d4
38,Redis and Caching,In-memory data structures caching sessions pub-sub with Redis.,Backend,Intermediate,15,4.5,"redis,caching,database,backend,performance",Raj Kumar,https://www.youtube.com/embed/jgpVdJB2sKQ,10b981
39,Quantum Computing Basics,Introduction to quantum mechanics qubits quantum gates and algorithms.,Emerging Tech,Advanced,20,4.4,"quantum computing,qubits,physics,algorithms,emerging tech",Dr. Richard Feynman Jr,https://www.youtube.com/embed/JhHMJCUmq28,f59e0b
40,Django Web Framework,Build full-stack web apps with Django ORM forms authentication REST APIs.,Web Development,Intermediate,30,4.7,"django,python,web,orm,backend",Sarah O'Brien,https://www.youtube.com/embed/F5mRW0jo-U4,ef4444
41,C++ for Competitive Programming,Advanced C++ STL algorithms data structures for competitive coding.,Programming,Advanced,30,4.7,"c++,stl,competitive,algorithms,programming",Prof. Vikram Singh,https://www.youtube.com/embed/8jLOx1hD3_o,4f46e5
42,AWS Lambda Serverless,Build serverless applications with AWS Lambda API Gateway and DynamoDB.,Cloud,Intermediate,20,4.6,"aws,lambda,serverless,cloud,api gateway",James Carter,https://www.youtube.com/embed/eOBq__h4OJ4,06b6d4
43,Product Management for Tech,Agile Scrum roadmaps user stories and product strategy for tech products.,Business,Beginner,20,4.5,"product management,agile,scrum,business,strategy",Neha Gupta,https://www.youtube.com/embed/XbTO_SDq8ss,10b981
44,Figma UI Design Masterclass,Professional UI design with Figma components auto-layout and design systems.,Design,Intermediate,25,4.8,"figma,ui,design,components,prototype",Zoe Williams,https://www.youtube.com/embed/FTFaQWZBqQ8,f59e0b
45,Pandas for Data Analysis,Data manipulation cleaning analysis and visualization with Pandas library.,Data Science,Beginner,20,4.7,"pandas,python,data analysis,dataframe,numpy",Dr. Aisha Patel,https://www.youtube.com/embed/vmEHCJofslg,ef4444
46,Spring Boot Java,Build enterprise REST APIs microservices with Spring Boot JPA Security.,Backend,Intermediate,35,4.6,"spring boot,java,rest,api,enterprise",Prof. Hans Mueller,https://www.youtube.com/embed/9SGDpanrc8U,4f46e5
47,Git and GitHub Complete,Version control branching merging pull requests and team collaboration.,Programming,Beginner,10,4.8,"git,github,version control,collaboration,devops",Chris Lee,https://www.youtube.com/embed/RGOj5yH7evk,06b6d4
48,MongoDB NoSQL Database,Document database CRUD operations aggregation indexing with MongoDB.,Database,Intermediate,20,4.5,"mongodb,nosql,database,aggregation,json",Maria Santos,https://www.youtube.com/embed/-56x56UppqQ,10b981
49,Machine Learning Operations,MLOps model deployment monitoring and retraining pipelines in production.,Data Science,Advanced,30,4.6,"mlops,deployment,monitoring,ml,production",Dr. Kevin Park,https://www.youtube.com/embed/9-hlOfCQj5k,f59e0b
50,Next.js Full Stack,Server-side rendering static generation API routes with Next.js and React.,Web Development,Intermediate,25,4.8,"nextjs,react,ssr,fullstack,javascript",Amy Johnson,https://www.youtube.com/embed/mTz0GXj8NN0,ef4444
